﻿Contcod,Group,Measure Names,quantile,Avg. R Rinc,Measure Values,Pop
PRT,6,Running Sum of Pop along Table (Down),16,"4,884","3,322.06",1.001961
POL,8,Running Sum of Pop along Table (Down),16,"4,916","3,325.84",3.7824488
URY,7,Running Sum of Pop along Table (Down),16,"4,920","3,326.15",0.3068166
DZA,10,Running Sum of Pop along Table (Down),16,"4,941","3,328.55",2.4035236
KAZ,8,Running Sum of Pop along Table (Down),16,"4,953","3,330.16",1.6130832
IRL,6,Running Sum of Pop along Table (Down),16,"4,995","3,330.51",0.3524949
ARG,6,Running Sum of Pop along Table (Down),16,"4,996","3,333.69",3.172913
SVK,6,Running Sum of Pop along Table (Down),16,"4,997","3,334.21",0.5250596
BRA,9,Running Sum of Pop along Table (Down),16,"5,012","3,348.66",14.4470384
FRA,2,Running Sum of Pop along Table (Down),16,"5,036","3,354.43",5.7668932
ROU,8,Running Sum of Pop along Table (Down),16,"5,061","3,356.73",2.3057662
BLR,9,Running Sum of Pop along Table (Down),16,"5,097","3,357.75",1.014
GRC,3,Running Sum of Pop along Table (Down),16,"5,105","3,358.75",1.0036983
DEU,1,Running Sum of Pop along Table (Down),16,"5,114","3,366.56",7.8144616
LVA,3,Running Sum of Pop along Table (Down),16,"5,117","3,366.83",0.2653434
EST,6,Running Sum of Pop along Table (Down),16,"5,210","3,366.99",0.15619
CZE,5,Running Sum of Pop along Table (Down),16,"5,271","3,368.02",1.0355276
AUS,2,Running Sum of Pop along Table (Down),16,"5,284","3,369.67",1.65322
GBR,3,Running Sum of Pop along Table (Down),16,"5,305","3,375.37",5.6928328
LTU,9,Running Sum of Pop along Table (Down),16,"5,307","3,375.73",0.3655049
SVN,5,Running Sum of Pop along Table (Down),16,"5,345","3,375.93",0.1995196
KOR,5,Running Sum of Pop along Table (Down),16,"5,347","3,380.13",4.1975
TTO,9,Running Sum of Pop along Table (Down),16,"5,358","3,380.25",0.1201224
BGR,5,Running Sum of Pop along Table (Down),16,"5,384","3,381.15",0.8981446
ITA,4,Running Sum of Pop along Table (Down),16,"5,398","3,386.81",5.6629288
SVK,7,Running Sum of Pop along Table (Down),16,"5,457","3,387.34",0.5250596
BEL,2,Running Sum of Pop along Table (Down),16,"5,470","3,388.33",0.9901664
HND,10,Running Sum of Pop along Table (Down),16,"5,501","3,388.79",0.4618245
CYP,6,Running Sum of Pop along Table (Down),16,"5,507","3,388.86",0.0736531
ISR,6,Running Sum of Pop along Table (Down),16,"5,521","3,389.31",0.4442
ESP,5,Running Sum of Pop along Table (Down),16,"5,534","3,393.18",3.8715848
TUN,10,Running Sum of Pop along Table (Down),16,"5,571","3,393.96",0.7857619
GTM,10,Running Sum of Pop along Table (Down),16,"5,626","3,394.82",0.8525211
PRT,7,Running Sum of Pop along Table (Down),16,"5,637","3,395.82",1.001961
PRY,9,Running Sum of Pop along Table (Down),16,"5,675","3,396.22",0.4023628
NLD,3,Running Sum of Pop along Table (Down),16,"5,696","3,397.70",1.4760094
FIN,2,Running Sum of Pop along Table (Down),16,"5,729","3,398.19",0.4946481
CZE,6,Running Sum of Pop along Table (Down),16,"5,734","3,399.23",1.0355276
USA,2,Running Sum of Pop along Table (Down),16,"5,770","3,423.68",24.4499008
HUN,10,Running Sum of Pop along Table (Down),16,"5,806","3,424.74",1.0596487
LVA,4,Running Sum of Pop along Table (Down),16,"5,806","3,425.00",0.2653434
EST,7,Running Sum of Pop along Table (Down),16,"5,809","3,425.16",0.15619
IRL,7,Running Sum of Pop along Table (Down),16,"5,813","3,425.51",0.3524949
POL,9,Running Sum of Pop along Table (Down),16,"5,825","3,429.29",3.7824488
SVN,6,Running Sum of Pop along Table (Down),16,"5,881","3,429.49",0.1995196
ROU,9,Running Sum of Pop along Table (Down),16,"5,886","3,431.80",2.3057662
KAZ,9,Running Sum of Pop along Table (Down),16,"5,909","3,433.41",1.6130832
JPN,1,Running Sum of Pop along Table (Down),16,"5,929","3,445.67",12.2613
BGR,6,Running Sum of Pop along Table (Down),16,"5,942","3,446.57",0.8981446
SVK,8,Running Sum of Pop along Table (Down),16,"6,040","3,447.10",0.5250596
URY,8,Running Sum of Pop along Table (Down),16,"6,069","3,447.40",0.3068166
GRC,4,Running Sum of Pop along Table (Down),16,"6,077","3,448.41",1.0036983
DOM,10,Running Sum of Pop along Table (Down),16,"6,091","3,449.10",0.6907171
KOR,6,Running Sum of Pop along Table (Down),16,"6,100","3,453.29",4.1975
ARG,7,Running Sum of Pop along Table (Down),16,"6,116","3,456.47",3.172913
AUT,1,Running Sum of Pop along Table (Down),16,"6,137","3,457.23",0.7585317
NZL,3,Running Sum of Pop along Table (Down),16,"6,156","3,457.56",0.335
GBR,4,Running Sum of Pop along Table (Down),16,"6,205","3,463.25",5.6928328
FRA,3,Running Sum of Pop along Table (Down),16,"6,206","3,469.02",5.7668932
ITA,5,Running Sum of Pop along Table (Down),16,"6,221","3,474.68",5.6629288
CZE,7,Running Sum of Pop along Table (Down),16,"6,245","3,475.72",1.0355276
BOL,10,Running Sum of Pop along Table (Down),16,"6,312","3,476.36",0.636347
CYP,7,Running Sum of Pop along Table (Down),16,"6,373","3,476.43",0.0736531
ESP,6,Running Sum of Pop along Table (Down),16,"6,382","3,480.30",3.8715848
BEL,3,Running Sum of Pop along Table (Down),16,"6,405","3,481.29",0.9901664
SVN,7,Running Sum of Pop along Table (Down),16,"6,477","3,481.49",0.1995196
LVA,5,Running Sum of Pop along Table (Down),16,"6,486","3,481.76",0.2653434
EST,8,Running Sum of Pop along Table (Down),16,"6,507","3,481.91",0.15619
BGR,7,Running Sum of Pop along Table (Down),16,"6,575","3,482.81",0.8981446
AUS,3,Running Sum of Pop along Table (Down),16,"6,589","3,484.46",1.65322
VEN,9,Running Sum of Pop along Table (Down),16,"6,591","3,486.35",1.8839278
NLD,4,Running Sum of Pop along Table (Down),16,"6,619","3,487.82",1.4760094
PRT,8,Running Sum of Pop along Table (Down),16,"6,622","3,488.82",1.001961
FIN,3,Running Sum of Pop along Table (Down),16,"6,629","3,489.32",0.4946481
ISR,7,Running Sum of Pop along Table (Down),16,"6,645","3,489.76",0.4442
CAN,2,Running Sum of Pop along Table (Down),16,"6,751","3,492.45",2.6895
CZE,8,Running Sum of Pop along Table (Down),16,"6,901","3,493.49",1.0355276
GRC,5,Running Sum of Pop along Table (Down),16,"6,922","3,494.49",1.0036983
SVK,9,Running Sum of Pop along Table (Down),16,"6,944","3,495.02",0.5250596
IRL,8,Running Sum of Pop along Table (Down),16,"6,951","3,495.37",0.3524949
BLR,10,Running Sum of Pop along Table (Down),16,"7,030","3,496.38",1.014
KOR,7,Running Sum of Pop along Table (Down),16,"7,043","3,500.58",4.1975
GBR,5,Running Sum of Pop along Table (Down),16,"7,211","3,506.27",5.6928328
LVA,6,Running Sum of Pop along Table (Down),16,"7,211","3,506.54",0.2653434
LTU,10,Running Sum of Pop along Table (Down),16,"7,233","3,506.91",0.3655049
DNK,2,Running Sum of Pop along Table (Down),16,"7,252","3,507.42",0.5129516
SLV,10,Running Sum of Pop along Table (Down),16,"7,257","3,507.94",0.5189565
SVN,8,Running Sum of Pop along Table (Down),16,"7,258","3,508.14",0.1995196
ITA,6,Running Sum of Pop along Table (Down),16,"7,273","3,513.80",5.6629288
BEL,4,Running Sum of Pop along Table (Down),16,"7,332","3,514.79",0.9901664
ESP,7,Running Sum of Pop along Table (Down),16,"7,340","3,518.66",3.8715848
FRA,4,Running Sum of Pop along Table (Down),17,"7,389","3,524.43",5.7668932
BGR,8,Running Sum of Pop along Table (Down),17,"7,400","3,525.33",0.8981446
FIN,4,Running Sum of Pop along Table (Down),17,"7,408","3,525.82",0.4946481
EST,9,Running Sum of Pop along Table (Down),17,"7,424","3,525.98",0.15619
DEU,2,Running Sum of Pop along Table (Down),17,"7,446","3,533.79",7.8144616
CYP,8,Running Sum of Pop along Table (Down),17,"7,473","3,533.87",0.0736531
JOR,10,Running Sum of Pop along Table (Down),17,"7,473","3,534.16",0.2948
NLD,5,Running Sum of Pop along Table (Down),17,"7,498","3,535.64",1.4760094
JPN,2,Running Sum of Pop along Table (Down),17,"7,621","3,547.90",12.2613
ARG,8,Running Sum of Pop along Table (Down),17,"7,645","3,551.07",3.172913
NZL,4,Running Sum of Pop along Table (Down),17,"7,676","3,551.41",0.335
AUS,4,Running Sum of Pop along Table (Down),17,"7,711","3,553.06",1.65322
JAM,10,Running Sum of Pop along Table (Down),17,"7,733","3,553.29",0.23564
CZE,9,Running Sum of Pop along Table (Down),17,"7,904","3,554.33",1.0355276
URY,9,Running Sum of Pop along Table (Down),17,"7,990","3,554.64",0.3068166
ROU,10,Running Sum of Pop along Table (Down),17,"8,002","3,556.94",2.3057662
LVA,7,Running Sum of Pop along Table (Down),17,"8,017","3,557.21",0.2653434
ISR,8,Running Sum of Pop along Table (Down),17,"8,023","3,557.65",0.4442
GRC,6,Running Sum of Pop along Table (Down),17,"8,075","3,558.66",1.0036983
CRI,10,Running Sum of Pop along Table (Down),17,"8,095","3,558.95",0.2916566
IRN,10,Running Sum of Pop along Table (Down),17,"8,150","3,564.13",5.1810744
FIN,5,Running Sum of Pop along Table (Down),17,"8,168","3,564.62",0.4946481
KAZ,10,Running Sum of Pop along Table (Down),17,"8,168","3,566.24",1.6130832
USA,3,Running Sum of Pop along Table (Down),17,"8,180","3,590.69",24.4499008
BEL,5,Running Sum of Pop along Table (Down),17,"8,237","3,591.68",0.9901664
KOR,8,Running Sum of Pop along Table (Down),17,"8,302","3,595.87",4.1975
GBR,6,Running Sum of Pop along Table (Down),17,"8,324","3,601.57",5.6928328
AUT,2,Running Sum of Pop along Table (Down),17,"8,333","3,602.32",0.7585317
PRT,9,Running Sum of Pop along Table (Down),17,"8,364","3,603.33",1.001961
ITA,7,Running Sum of Pop along Table (Down),17,"8,443","3,608.99",5.6629288
SVN,9,Running Sum of Pop along Table (Down),17,"8,489","3,609.19",0.1995196
CAN,3,Running Sum of Pop along Table (Down),17,"8,503","3,611.88",2.6895
FRA,5,Running Sum of Pop along Table (Down),17,"8,542","3,617.65",5.7668932
DNK,3,Running Sum of Pop along Table (Down),17,"8,559","3,618.16",0.5129516
ESP,8,Running Sum of Pop along Table (Down),17,"8,566","3,622.03",3.8715848
JPN,3,Running Sum of Pop along Table (Down),17,"8,612","3,634.29",12.2613
POL,10,Running Sum of Pop along Table (Down),17,"8,668","3,638.07",3.7824488
BGR,9,Running Sum of Pop along Table (Down),17,"8,678","3,638.97",0.8981446
NLD,6,Running Sum of Pop along Table (Down),17,"8,691","3,640.45",1.4760094
DEU,3,Running Sum of Pop along Table (Down),17,"8,744","3,648.26",7.8144616
ECU,10,Running Sum of Pop along Table (Down),17,"8,778","3,649.24",0.9792658
IRL,9,Running Sum of Pop along Table (Down),17,"8,864","3,649.59",0.3524949
AUS,5,Running Sum of Pop along Table (Down),17,"8,904","3,651.25",1.65322
FIN,6,Running Sum of Pop along Table (Down),17,"8,953","3,651.74",0.4946481
LVA,8,Running Sum of Pop along Table (Down),17,"8,968","3,652.01",0.2653434
BEL,6,Running Sum of Pop along Table (Down),17,"9,132","3,653.00",0.9901664
TUR,10,Running Sum of Pop along Table (Down),17,"9,155","3,658.23",5.22785
CYP,9,Running Sum of Pop along Table (Down),17,"9,305","3,658.30",0.0736531
GRC,7,Running Sum of Pop along Table (Down),17,"9,347","3,659.30",1.0036983
SVK,10,Running Sum of Pop along Table (Down),17,"9,365","3,659.83",0.5250596
JPN,4,Running Sum of Pop along Table (Down),17,"9,507","3,672.09",12.2613
GBR,7,Running Sum of Pop along Table (Down),17,"9,557","3,677.78",5.6928328
EST,10,Running Sum of Pop along Table (Down),17,"9,591","3,677.94",0.15619
DNK,4,Running Sum of Pop along Table (Down),17,"9,656","3,678.45",0.5129516
AUT,3,Running Sum of Pop along Table (Down),17,"9,790","3,679.21",0.7585317
FRA,6,Running Sum of Pop along Table (Down),17,"9,790","3,684.98",5.7668932
NZL,5,Running Sum of Pop along Table (Down),17,"9,841","3,685.31",0.335
ITA,8,Running Sum of Pop along Table (Down),17,"9,878","3,690.97",5.6629288
FIN,7,Running Sum of Pop along Table (Down),17,"9,909","3,691.47",0.4946481
TTO,10,Running Sum of Pop along Table (Down),17,"9,914","3,691.59",0.1201224
CAN,4,Running Sum of Pop along Table (Down),17,"9,973","3,694.28",2.6895
NLD,7,Running Sum of Pop along Table (Down),17,"10,021","3,695.75",1.4760094
DEU,4,Running Sum of Pop along Table (Down),17,"10,086","3,703.57",7.8144616
ISR,9,Running Sum of Pop along Table (Down),17,"10,152","3,704.01",0.4442
BEL,7,Running Sum of Pop along Table (Down),17,"10,195","3,705.00",0.9901664
KOR,9,Running Sum of Pop along Table (Down),17,"10,216","3,709.20",4.1975
LVA,9,Running Sum of Pop along Table (Down),17,"10,250","3,709.47",0.2653434
ARG,9,Running Sum of Pop along Table (Down),17,"10,280","3,712.64",3.172913
USA,4,Running Sum of Pop along Table (Down),18,"10,312","3,737.09",24.4499008
MYS,10,Running Sum of Pop along Table (Down),18,"10,335","3,738.81",1.7200068
CZE,10,Running Sum of Pop along Table (Down),18,"10,449","3,739.84",1.0355276
AUS,6,Running Sum of Pop along Table (Down),18,"10,469","3,741.50",1.65322
JPN,5,Running Sum of Pop along Table (Down),18,"10,495","3,753.76",12.2613
ESP,9,Running Sum of Pop along Table (Down),18,"10,586","3,757.63",3.8715848
PRY,10,Running Sum of Pop along Table (Down),18,"10,604","3,758.03",0.4023628
DNK,5,Running Sum of Pop along Table (Down),18,"10,751","3,758.55",0.5129516
AUT,4,Running Sum of Pop along Table (Down),18,"11,059","3,759.30",0.7585317
FIN,8,Running Sum of Pop along Table (Down),18,"11,112","3,759.80",0.4946481
GRC,8,Running Sum of Pop along Table (Down),18,"11,164","3,760.80",1.0036983
FRA,7,Running Sum of Pop along Table (Down),18,"11,236","3,766.57",5.7668932
GBR,8,Running Sum of Pop along Table (Down),18,"11,239","3,772.26",5.6928328
CAN,5,Running Sum of Pop along Table (Down),18,"11,417","3,774.95",2.6895
DEU,5,Running Sum of Pop along Table (Down),18,"11,444","3,782.77",7.8144616
COL,10,Running Sum of Pop along Table (Down),18,"11,476","3,785.96",3.191325
BEL,8,Running Sum of Pop along Table (Down),18,"11,596","3,786.95",0.9901664
JPN,6,Running Sum of Pop along Table (Down),18,"11,684","3,799.21",12.2613
NLD,8,Running Sum of Pop along Table (Down),18,"11,893","3,800.69",1.4760094
DNK,6,Running Sum of Pop along Table (Down),18,"11,967","3,801.20",0.5129516
ITA,9,Running Sum of Pop along Table (Down),18,"12,109","3,806.86",5.6629288
NZL,6,Running Sum of Pop along Table (Down),18,"12,244","3,807.20",0.335
AUT,5,Running Sum of Pop along Table (Down),18,"12,331","3,807.96",0.7585317
AUS,7,Running Sum of Pop along Table (Down),18,"12,345","3,809.61",1.65322
BGR,10,Running Sum of Pop along Table (Down),18,"12,424","3,810.51",0.8981446
USA,5,Running Sum of Pop along Table (Down),18,"12,441","3,834.96",24.4499008
SVN,10,Running Sum of Pop along Table (Down),18,"12,548","3,835.16",0.1995196
FIN,9,Running Sum of Pop along Table (Down),18,"12,873","3,835.65",0.4946481
DEU,6,Running Sum of Pop along Table (Down),18,"13,011","3,843.47",7.8144616
CAN,6,Running Sum of Pop along Table (Down),18,"13,101","3,846.15",2.6895
JPN,7,Running Sum of Pop along Table (Down),18,"13,175","3,858.42",12.2613
FRA,8,Running Sum of Pop along Table (Down),18,"13,195","3,864.18",5.7668932
CHL,10,Running Sum of Pop along Table (Down),18,"13,336","3,865.46",1.2733409
DNK,7,Running Sum of Pop along Table (Down),18,"13,387","3,865.97",0.5129516
GBR,9,Running Sum of Pop along Table (Down),18,"13,674","3,871.66",5.6928328
AUT,6,Running Sum of Pop along Table (Down),18,"13,689","3,872.42",0.7585317
LVA,10,Running Sum of Pop along Table (Down),18,"13,712","3,872.69",0.2653434
BEL,9,Running Sum of Pop along Table (Down),18,"13,755","3,873.68",0.9901664
GRC,9,Running Sum of Pop along Table (Down),18,"13,798","3,874.68",1.0036983
PRT,10,Running Sum of Pop along Table (Down),18,"14,080","3,875.68",1.001961
NZL,7,Running Sum of Pop along Table (Down),18,"14,321","3,876.02",0.335
DEU,7,Running Sum of Pop along Table (Down),18,"14,686","3,883.83",7.8144616
AUS,8,Running Sum of Pop along Table (Down),18,"14,849","3,885.48",1.65322
USA,6,Running Sum of Pop along Table (Down),18,"14,861","3,909.93",24.4499008
JPN,8,Running Sum of Pop along Table (Down),18,"15,075","3,922.20",12.2613
NLD,9,Running Sum of Pop along Table (Down),18,"15,075","3,923.67",1.4760094
BRA,10,Running Sum of Pop along Table (Down),19,"15,081","3,938.12",14.4470384
AUT,7,Running Sum of Pop along Table (Down),19,"15,204","3,938.88",0.7585317
DNK,8,Running Sum of Pop along Table (Down),19,"15,205","3,939.39",0.5129516
CAN,7,Running Sum of Pop along Table (Down),19,"15,207","3,942.08",2.6895
CYP,10,Running Sum of Pop along Table (Down),19,"15,540","3,942.15",0.0736531
IRL,10,Running Sum of Pop along Table (Down),19,"15,603","3,942.51",0.3524949
VEN,10,Running Sum of Pop along Table (Down),19,"15,618","3,944.39",1.8839278
URY,10,Running Sum of Pop along Table (Down),19,"16,242","3,944.70",0.3068166
FRA,9,Running Sum of Pop along Table (Down),19,"16,274","3,950.46",5.7668932
ISR,10,Running Sum of Pop along Table (Down),19,"16,920","3,950.91",0.4442
NZL,8,Running Sum of Pop along Table (Down),19,"16,942","3,951.24",0.335
DEU,8,Running Sum of Pop along Table (Down),19,"16,973","3,959.06",7.8144616
AUT,8,Running Sum of Pop along Table (Down),19,"17,063","3,959.82",0.7585317
ESP,10,Running Sum of Pop along Table (Down),19,"17,723","3,963.69",3.8715848
FIN,10,Running Sum of Pop along Table (Down),19,"17,806","3,964.18",0.4946481
USA,7,Running Sum of Pop along Table (Down),19,"17,860","3,988.63",24.4499008
DNK,9,Running Sum of Pop along Table (Down),19,"17,907","3,989.14",0.5129516
JPN,9,Running Sum of Pop along Table (Down),19,"18,078","4,001.41",12.2613
CAN,8,Running Sum of Pop along Table (Down),19,"18,087","4,004.10",2.6895
AUS,9,Running Sum of Pop along Table (Down),19,"18,784","4,005.75",1.65322
KOR,10,Running Sum of Pop along Table (Down),19,"19,432","4,009.95",4.1975
AUT,9,Running Sum of Pop along Table (Down),19,"19,638","4,010.70",0.7585317
ITA,10,Running Sum of Pop along Table (Down),19,"19,681","4,016.37",5.6629288
DEU,9,Running Sum of Pop along Table (Down),19,"20,268","4,024.18",7.8144616
BEL,10,Running Sum of Pop along Table (Down),19,"20,652","4,025.17",0.9901664
NZL,9,Running Sum of Pop along Table (Down),19,"20,687","4,025.51",0.335
USA,8,Running Sum of Pop along Table (Down),19,"21,485","4,049.96",24.4499008
ARG,10,Running Sum of Pop along Table (Down),19,"22,020","4,053.13",3.172913
GBR,10,Running Sum of Pop along Table (Down),19,"22,217","4,058.82",5.6928328
CAN,9,Running Sum of Pop along Table (Down),19,"22,462","4,061.51",2.6895
NLD,10,Running Sum of Pop along Table (Down),19,"22,806","4,062.99",1.4760094
GRC,10,Running Sum of Pop along Table (Down),19,"23,636","4,063.99",1.0036983
FRA,10,Running Sum of Pop along Table (Down),19,"26,635","4,069.76",5.7668932
JPN,10,Running Sum of Pop along Table (Down),19,"26,920","4,082.02",12.2613
USA,9,Running Sum of Pop along Table (Down),19,"27,285","4,106.47",24.4499008
AUT,10,Running Sum of Pop along Table (Down),19,"27,312","4,107.23",0.7585317
DNK,10,Running Sum of Pop along Table (Down),19,"27,387","4,107.74",0.5129516
AUS,10,Running Sum of Pop along Table (Down),19,"28,953","4,109.39",1.65322
NZL,10,Running Sum of Pop along Table (Down),19,"29,393","4,109.73",0.335
DEU,10,Running Sum of Pop along Table (Down),19,"31,358","4,117.54",7.8144616
CAN,10,Running Sum of Pop along Table (Down),19,"34,682","4,120.23",2.6895
USA,10,Running Sum of Pop along Table (Down),19,"43,279","4,144.68",24.4499008